temperature,humidity,wind_speed,pm25,pm10,no2,so2,co,o3,main_pollutant,aqi
35.9,54.5,7.74,60.1,82.0,18.6,3.4,0.32,64.9,PM10,80.2
24.5,46.5,6.59,74.2,145.9,24.8,4.7,0.73,24.9,PM2.5,146.8
29.2,77.3,5.52,18.4,46.2,6.8,9.5,0.24,2.0,PM10,45.4
28.0,76.4,21.4,3.9,8.2,5.7,3.8,0.44,64.3,O3,66.9
10.8,68.1,4.22,17.3,52.0,39.4,11.1,0.94,66.2,O3,68.4
14.1,65.6,3.35,63.4,111.8,9.2,20.0,0.4,44.5,PM2.5,103.2
8.5,67.0,7.04,40.3,85.9,15.2,6.6,0.3,12.0,PM10,85.8
18.9,64.2,3.52,105.6,174.2,28.3,4.8,0.79,2.0,PM2.5,242.2
28.8,65.6,16.05,10.0,31.4,6.9,4.1,0.33,61.3,O3,60.6
26.5,80.4,8.74,29.4,49.8,27.3,6.7,0.49,54.9,O3,51.5
14.0,76.9,3.91,64.0,121.2,21.5,22.2,0.44,15.9,PM10,113.0
21.6,42.5,10.54,36.2,69.3,6.6,3.3,0.52,37.4,PM10,68.0
21.8,49.8,3.56,11.6,30.5,32.8,19.0,1.47,57.5,CO,73.0
12.9,68.4,7.42,82.6,193.0,20.8,4.0,0.3,49.4,PM2.5,174.4
14.6,63.7,5.58,75.4,154.1,8.7,9.7,0.42,47.8,PM2.5,147.7
9.7,85.3,3.44,84.8,157.2,40.5,14.5,0.96,59.9,PM2.5,173.8
30.4,40.4,7.21,22.7,42.6,32.5,4.6,0.44,57.8,O3,60.4
37.4,34.1,12.21,61.9,110.6,14.2,4.6,0.24,76.5,PM10,102.1
39.3,60.8,2.14,24.8,68.2,20.0,17.1,1.14,52.8,PM10,61.7
13.0,64.0,6.07,50.7,85.3,11.8,6.7,0.29,6.0,PM10,80.8
26.1,76.9,19.32,5.1,21.7,6.1,3.7,0.28,59.1,O3,62.5
12.4,65.9,3.47,65.5,113.7,18.7,11.4,0.43,40.8,PM2.5,115.6
11.9,69.8,3.05,97.3,134.5,13.0,8.4,0.68,16.3,PM2.5,224.8
38.0,64.6,5.27,81.8,133.7,30.1,6.5,0.69,85.1,PM2.5,167.5
37.4,42.2,5.31,84.5,177.0,14.9,3.8,0.56,53.9,PM2.5,180.0
27.3,38.8,0.58,322.6,429.9,32.3,17.8,1.41,2.0,PM2.5,437.0
11.3,70.6,3.13,96.3,170.9,55.0,8.4,0.37,32.2,PM2.5,217.7
34.4,50.0,7.01,119.3,194.8,16.6,11.1,0.54,22.2,PM2.5,293.4
26.1,68.7,15.44,11.8,24.4,9.2,3.6,0.24,2.0,PM10,22.2
16.7,83.6,3.09,38.1,73.0,11.9,3.7,1.3,28.9,PM10,75.0
27.3,79.5,15.32,3.0,8.8,9.2,3.5,0.45,63.7,O3,69.3
15.5,66.3,2.74,182.2,339.1,84.1,4.4,0.72,23.1,PM2.5,338.3
